weapon_name,count,pct
Personal Weapons,6108,68.11
Other,867,9.67
MISSING,847,9.44
Motor Vehicle/Vessel,325,3.62
Handgun,176,1.96
Unknown,174,1.94
Knife/Cutting Instrument,162,1.81
Blunt Object,119,1.33
Firearm,98,1.09
Rifle,33,0.37
Asphyxiation,12,0.13
Fire/Incendiary Device,11,0.12
Other Firearm,9,0.1
Poison,5,0.06
Explosives,5,0.06
Shotgun,4,0.04
Rifle (Automatic),4,0.04
Drugs/Narcotics/Sleeping Pills,4,0.04
Handgun (Automatic),3,0.03
Firearm (Automatic),1,0.01
Other Firearm (Automatic),1,0.01
